NO;ULASAN;TANGGAL;LABEL;case_folding;remove_puctuation;tokenize;stemming;stopwords;empty_token
1; Cari steak Al-Ghiff saja Tempat Rapih, Bersih, Rasa Tingkat Kematangan Sangat Baik. Ada Menu Baru Selain steak Ada Nasi Juga. Tempat Makan 2 lantai, Lesehan dan Duduk Juga ada. Tersedia Wifi tidak sih loh kok aja deh ;sebulan yang lalu;0; cari steak al-ghiff saja tempat rapih, bersih, rasa tingkat kematangan sangat baik. ada menu baru selain steak ada nasi juga. tempat makan 2 lantai, lesehan dan duduk juga ada. tersedia wifi tidak sih loh kok aja deh ; cari steak al ghiff saja tempat rapih  bersih  rasa tingkat kematangan sangat baik  ada menu baru selain steak ada nasi juga  tempat makan  lantai  lesehan dan duduk juga ada  tersedia wifi tidak sih loh kok aja deh ;['cari', 'steak', 'al', 'ghiff', 'saja', 'tempat', 'rapih', 'bersih', 'rasa', 'tingkat', 'kematangan', 'sangat', 'baik', 'ada', 'menu', 'baru', 'selain', 'steak', 'ada', 'nasi', 'juga', 'tempat', 'makan', 'lantai', 'lesehan', 'dan', 'duduk', 'juga', 'ada', 'tersedia', 'wifi', 'tidak', 'sih', 'loh', 'kok', 'aja', 'deh'];['cari', 'steak', 'al', 'ghiff', 'saja', 'tempat', 'rapih', 'bersih', 'rasa', 'tingkat', 'matang', 'sangat', 'baik', 'ada', 'menu', 'baru', 'selain', 'steak', 'ada', 'nasi', 'juga', 'tempat', 'makan', 'lantai', 'leseh', 'dan', 'duduk', 'juga', 'ada', 'sedia', 'wifi', 'tidak', 'sih', 'loh', 'kok', 'aja', 'deh'];['cari', 'steak', 'al', 'ghiff', '', 'tempat', 'rapih', 'bersih', 'rasa', 'tingkat', 'matang', 'sangat', 'baik', '', 'menu', 'baru', '', 'steak', '', 'nasi', '', 'tempat', 'makan', 'lantai', 'leseh', '', 'duduk', '', '', 'sedia', 'wifi', 'tidak', '', '', '', '', ''];cari steak al ghiff tempat rapih bersih rasa tingkat matang sangat baik menu baru steak nasi tempat makan lantai leseh duduk sedia wifi tidak
2;Ini tempat nya enak..makanan juga enak cocok buat menongkrong  juga.. harganya juga oke rasanya oke;seminggu yang lalu;0;ini tempat nya enak..makanan juga enak cocok buat menongkrong  juga.. harganya juga oke rasanya oke;ini tempat nya enak  makanan juga enak cocok buat menongkrong  juga   harganya juga oke rasanya oke;['ini', 'tempat', 'nya', 'enak', 'makanan', 'juga', 'enak', 'cocok', 'buat', 'menongkrong', 'juga', 'harganya', 'juga', 'oke', 'rasanya', 'oke'];['ini', 'tempat', 'nya', 'enak', 'makan', 'juga', 'enak', 'cocok', 'buat', 'tongkrong', 'juga', 'harga', 'juga', 'oke', 'rasa', 'oke'];['', 'tempat', 'nya', 'enak', 'makan', '', 'enak', 'cocok', 'buat', 'tongkrong', '', 'harga', '', 'oke', 'rasa', 'oke'];tempat nya enak makan enak cocok buat tongkrong harga oke rasa oke
3;Rasa kuah steak tambahannya beda dengan kuah pertama, barangkali bisa lebih dikentalkan lagi kuahnya juga karena sedikit encer. Mohon maaf, hanya masukan  untuk kemajuan. Terima kasih;4 minggu yang lalu;1;rasa kuah steak tambahannya beda dengan kuah pertama, barangkali bisa lebih dikentalkan lagi kuahnya juga karena sedikit encer. mohon maaf, hanya masukan  untuk kemajuan. terima kasih;rasa kuah steak tambahannya beda dengan kuah pertama  barangkali bisa lebih dikentalkan lagi kuahnya juga karena sedikit encer  mohon maaf  hanya masukan  untuk kemajuan  terima kasih;['rasa', 'kuah', 'steak', 'tambahannya', 'beda', 'dengan', 'kuah', 'pertama', 'barangkali', 'bisa', 'lebih', 'dikentalkan', 'lagi', 'kuahnya', 'juga', 'karena', 'sedikit', 'encer', 'mohon', 'maaf', 'hanya', 'masukan', 'untuk', 'kemajuan', 'terima', 'kasih'];['rasa', 'kuah', 'steak', 'tambah', 'beda', 'dengan', 'kuah', 'pertama', 'barangkali', 'bisa', 'lebih', 'kental', 'lagi', 'kuah', 'juga', 'karena', 'sedikit', 'encer', 'mohon', 'maaf', 'hanya', 'masuk', 'untuk', 'maju', 'terima', 'kasih'];['rasa', 'kuah', 'steak', 'tambah', 'beda', '', 'kuah', 'pertama', 'barangkali', '', 'lebih', 'kental', '', 'kuah', '', '', 'sedikit', 'encer', 'mohon', 'maaf', '', 'masuk', '', 'maju', 'terima', 'kasih'];rasa kuah steak tambah beda kuah pertama barangkali lebih kental kuah sedikit encer mohon maaf masuk maju terima kasih
4;steak enak Harga murah steaknya lumayan enak kuahnya juga lumayan. Kalo ke cirebon coba mampir ke steak ini.;4 bulan lalu;0;steak enak harga murah steaknya lumayan enak kuahnya juga lumayan. kalo ke cirebon coba mampir ke steak ini.;steak enak harga murah steaknya lumayan enak kuahnya juga lumayan  kalo ke cirebon coba mampir ke steak ini ;['steak', 'enak', 'harga', 'murah', 'steaknya', 'lumayan', 'enak', 'kuahnya', 'juga', 'lumayan', 'kalo', 'ke', 'cirebon', 'coba', 'mampir', 'ke', 'steak', 'ini'];['steak', 'enak', 'harga', 'murah', 'steaknya', 'lumayan', 'enak', 'kuah', 'juga', 'lumayan', 'kalo', 'ke', 'cirebon', 'coba', 'mampir', 'ke', 'steak', 'ini'];['steak', 'enak', 'harga', 'murah', 'steaknya', 'lumayan', 'enak', 'kuah', '', 'lumayan', 'kalo', '', 'cirebon', 'coba', 'mampir', '', 'steak', ''];steak enak harga murah steaknya lumayan enak kuah lumayan kalo cirebon coba mampir steak
5;"Makanannya ga ada masalah, cukup enak .  yang jadi masalah adalah harganya yang cukup mahal tetapi belum termasuk PPN. Selain itu,  masih ada tukang parkir liar padahal terdapat tulisan ""PARKIR GRATIS"".";2 bulan lalu;0;"makanannya ga ada masalah, cukup enak .  yang jadi masalah adalah harganya yang cukup mahal tetapi belum termasuk ppn. selain itu,  masih ada tukang parkir liar padahal terdapat tulisan ""parkir gratis"".";makanannya ga ada masalah  cukup enak    yang jadi masalah adalah harganya yang cukup mahal tetapi belum termasuk ppn  selain itu   masih ada tukang parkir liar padahal terdapat tulisan  parkir gratis  ;['makanannya', 'ga', 'ada', 'masalah', 'cukup', 'enak', 'yang', 'jadi', 'masalah', 'adalah', 'harganya', 'yang', 'cukup', 'mahal', 'tetapi', 'belum', 'termasuk', 'ppn', 'selain', 'itu', 'masih', 'ada', 'tukang', 'parkir', 'liar', 'padahal', 'terdapat', 'tulisan', 'parkir', 'gratis'];['makan', 'ga', 'ada', 'masalah', 'cukup', 'enak', 'yang', 'jadi', 'masalah', 'adalah', 'harga', 'yang', 'cukup', 'mahal', 'tetapi', 'belum', 'masuk', 'ppn', 'selain', 'itu', 'masih', 'ada', 'tukang', 'parkir', 'liar', 'padahal', 'dapat', 'tulis', 'parkir', 'gratis'];['makan', 'ga', '', 'masalah', 'cukup', 'enak', '', 'jadi', 'masalah', '', 'harga', '', 'cukup', 'mahal', '', '', 'masuk', 'ppn', '', '', '', '', 'tukang', 'parkir', 'liar', 'padahal', '', 'tulis', 'parkir', 'gratis'];makan ga masalah cukup enak jadi masalah harga cukup mahal masuk ppn tukang parkir liar padahal tulis parkir gratis
6;Tempat makan steak paling enak dan murah di cirebon, mantap;3 minggu yang lalu;0;tempat makan steak paling enak dan murah di cirebon, mantap;tempat makan steak paling enak dan murah di cirebon  mantap;['tempat', 'makan', 'steak', 'paling', 'enak', 'dan', 'murah', 'di', 'cirebon', 'mantap'];['tempat', 'makan', 'steak', 'paling', 'enak', 'dan', 'murah', 'di', 'cirebon', 'mantap'];['tempat', 'makan', 'steak', 'paling', 'enak', '', 'murah', '', 'cirebon', 'mantap'];tempat makan steak paling enak murah cirebon mantap
7;Rasa steaknya enak, tempat nyaman untuk kumpul bareng dengan keluarga, pelayanan baik dan harganya relatif murah;3 bulan lalu;0;rasa steaknya enak, tempat nyaman untuk kumpul bareng dengan keluarga, pelayanan baik dan harganya relatif murah;rasa steaknya enak  tempat nyaman untuk kumpul bareng dengan keluarga  pelayanan baik dan harganya relatif murah;['rasa', 'steaknya', 'enak', 'tempat', 'nyaman', 'untuk', 'kumpul', 'bareng', 'dengan', 'keluarga', 'pelayanan', 'baik', 'dan', 'harganya', 'relatif', 'murah'];['rasa', 'steaknya', 'enak', 'tempat', 'nyaman', 'untuk', 'kumpul', 'bareng', 'dengan', 'keluarga', 'layan', 'baik', 'dan', 'harga', 'relatif', 'murah'];['rasa', 'steaknya', 'enak', 'tempat', 'nyaman', '', 'kumpul', 'bareng', '', 'keluarga', 'layan', 'baik', '', 'harga', 'relatif', 'murah'];rasa steaknya enak tempat nyaman kumpul bareng keluarga layan baik harga relatif murah
8;Dari pertama kali ke sini sampai kalau ke cirebon pulang wajib mampir kesini,,  Karena rasanya tidak berubah sama sekali,;7 bulan lalu;0;dari pertama kali ke sini sampai kalau ke cirebon pulang wajib mampir kesini,,  karena rasanya tidak berubah sama sekali,;dari pertama kali ke sini sampai kalau ke cirebon pulang wajib mampir kesini    karena rasanya tidak berubah sama sekali ;['dari', 'pertama', 'kali', 'ke', 'sini', 'sampai', 'kalau', 'ke', 'cirebon', 'pulang', 'wajib', 'mampir', 'kesini', 'karena', 'rasanya', 'tidak', 'berubah', 'sama', 'sekali'];['dari', 'pertama', 'kali', 'ke', 'sini', 'sampai', 'kalau', 'ke', 'cirebon', 'pulang', 'wajib', 'mampir', 'kesini', 'karena', 'rasa', 'tidak', 'ubah', 'sama', 'sekali'];['', 'pertama', 'kali', '', 'sini', '', 'kalau', '', 'cirebon', 'pulang', 'wajib', 'mampir', 'kesini', '', 'rasa', 'tidak', 'ubah', 'sama', 'sekali'];pertama kali sini kalau cirebon pulang wajib mampir kesini rasa tidak ubah sama sekali
9;Rasanya perlu diperhatikan...  Harus lebih menendang ;3 minggu yang lalu;1;rasanya perlu diperhatikan...  harus lebih menendang ;rasanya perlu diperhatikan     harus lebih menendang ;['rasanya', 'perlu', 'diperhatikan', 'harus', 'lebih', 'menendang'];['rasa', 'perlu', 'perhati', 'harus', 'lebih', 'tendang'];['rasa', 'perlu', 'perhati', '', 'lebih', 'tendang'];rasa perlu perhati lebih tendang
10;Makanannya enak;2 minggu yang lalu;0;makanannya enak;makanannya enak;['makanannya', 'enak'];['makan', 'enak'];['makan', 'enak'];makan enak
